Time,CPU Usage (%),Used Memory (GB),GPU Usage (%),GPU Used Memory (GB),GPU Power (W)
2024-09-04 20:48:17,23,2.83,0,166,26.79
2024-09-04 20:48:18,27.4,2.94,0,166,18.70
2024-09-04 20:48:20,35.5,3.13,2,291,13.73
2024-09-04 20:48:21,26.2,3.58,9,389,39.18
2024-09-04 20:48:23,30.2,3.58,10,389,34.47
2024-09-04 20:48:24,29,3.56,11,389,34.30
2024-09-04 20:48:25,30.2,3.58,11,389,34.42
2024-09-04 20:48:27,30.6,3.58,11,389,34.50
2024-09-04 20:48:28,39.7,2.62,8,226,30.91
2024-09-04 20:48:29,37.1,2.62,8,226,29.09
2024-09-04 20:48:31,36.7,2.63,8,226,29.11
2024-09-04 20:48:32,38.1,2.64,8,226,28.98
2024-09-04 20:48:34,35,2.62,8,226,29.17
2024-09-04 20:48:35,37.7,2.63,8,226,29.11
2024-09-04 20:48:36,37.1,2.63,8,226,29.10
2024-09-04 20:48:38,40,2.63,8,226,29.02
2024-09-04 20:48:39,37.1,2.63,7,226,28.89
2024-09-04 20:48:40,36.5,2.63,7,226,29.01
2024-09-04 20:48:42,100,2.62,8,166,28.56
2024-09-04 20:48:43,27.4,2.72,0,166,26.33
2024-09-04 20:48:45,29,2.95,0,166,26.17
2024-09-04 20:48:46,27.4,3.05,0,166,26.20
2024-09-04 20:48:47,27.4,3.46,2,381,26.60
2024-09-04 20:48:49,29,3.54,10,381,32.57
2024-09-04 20:48:50,27.9,3.55,10,381,31.74
2024-09-04 20:48:51,27.9,3.54,10,381,32.51
2024-09-04 20:48:53,27.4,3.54,10,381,32.48
2024-09-04 20:48:54,30.2,2.71,0,166,26.78
2024-09-04 20:48:56,26.2,2.96,0,166,26.10
2024-09-04 20:48:57,28.6,3.05,0,166,26.17
2024-09-04 20:48:58,29,3.50,2,379,26.61
2024-09-04 20:49:00,30.2,3.66,6,379,28.32
2024-09-04 20:49:01,29,3.67,6,379,28.08
2024-09-04 20:49:02,29,3.68,6,379,28.31
2024-09-04 20:49:04,26.2,3.68,6,379,28.38
2024-09-04 20:49:05,27.9,3.68,6,379,28.24
2024-09-04 20:49:07,30.6,3.68,6,379,28.25
2024-09-04 20:49:08,27.4,3.67,6,379,28.27
2024-09-04 20:49:09,27.4,3.67,7,379,28.22
2024-09-04 20:49:11,28.6,2.71,0,166,27.06
2024-09-04 20:49:12,26.2,2.89,0,166,19.09
2024-09-04 20:49:13,27.9,3.02,0,166,15.14
2024-09-04 20:49:15,26.2,3.13,0,291,10.59
2024-09-04 20:49:16,27.9,3.65,18,413,34.22
2024-09-04 20:49:17,27.9,3.66,18,413,37.00
2024-09-04 20:49:19,30.2,3.67,16,413,38.13
2024-09-04 20:49:20,30.2,3.67,17,413,38.24
2024-09-04 20:49:22,27.9,3.67,17,413,38.47
2024-09-04 20:49:23,28.3,3.68,18,413,39.96
2024-09-04 20:49:24,24.6,2.76,0,166,26.96
2024-09-04 20:49:26,27,2.95,0,166,26.84
2024-09-04 20:49:27,26.2,3.04,0,166,21.46
2024-09-04 20:49:28,29,3.57,1,353,27.29
2024-09-04 20:49:30,26.7,3.68,6,353,32.37
2024-09-04 20:49:31,30.2,3.68,6,353,28.44
2024-09-04 20:49:33,27.4,3.69,6,353,28.52
2024-09-04 20:49:34,29,3.69,6,353,28.42
2024-09-04 20:49:35,26.7,3.69,6,353,28.37
2024-09-04 20:49:37,30.2,3.70,6,353,28.39
2024-09-04 20:49:38,29,2.69,0,166,27.33
2024-09-04 20:49:39,28.6,2.94,0,166,25.34
2024-09-04 20:49:41,25.8,3.05,0,166,18.77
2024-09-04 20:49:42,30.2,3.23,1,311,16.18
2024-09-04 20:49:43,30.2,3.65,8,359,36.13
2024-09-04 20:49:45,26.2,3.66,9,359,29.58
2024-09-04 20:49:46,29.7,3.66,9,359,30.27
2024-09-04 20:49:48,28.6,3.67,9,359,30.18
2024-09-04 20:49:49,30.8,3.67,9,359,30.16
2024-09-04 20:49:50,1.6,2.68,0,166,27.18
2024-09-04 20:49:52,26.2,2.79,0,166,24.70
2024-09-04 20:49:53,27.9,2.99,0,166,19.53
2024-09-04 20:49:54,27,3.09,0,166,12.53
2024-09-04 20:49:56,29,3.53,6,373,32.31
2024-09-04 20:49:57,31.1,3.54,6,373,29.58
2024-09-04 20:49:59,27.9,3.55,6,373,27.70
2024-09-04 20:50:00,28.6,3.55,6,373,28.13
2024-09-04 20:50:01,1.6,2.70,5,166,27.76
2024-09-04 20:50:03,28.6,2.78,0,166,26.61
2024-09-04 20:50:04,26.2,2.97,0,166,16.51
2024-09-04 20:50:05,24.6,3.07,0,166,10.14
2024-09-04 20:50:07,27.9,3.65,7,369,28.52
2024-09-04 20:50:08,32.3,3.65,8,369,29.61
2024-09-04 20:50:10,28.3,3.66,7,369,28.64
2024-09-04 20:50:11,52.4,3.68,7,369,28.89
2024-09-04 20:50:12,29,3.67,7,369,29.07
2024-09-04 20:50:14,27.9,3.67,8,369,29.32
2024-09-04 20:50:15,29.5,3.67,7,369,29.17
2024-09-04 20:50:16,7.7,2.70,0,166,27.29
2024-09-04 20:50:18,27.4,2.80,0,166,21.36
2024-09-04 20:50:19,27.9,2.99,0,166,16.57
2024-09-04 20:50:20,25.8,3.10,0,180,10.89
2024-09-04 20:50:22,27.9,3.52,6,379,32.35
2024-09-04 20:50:23,27.4,3.53,6,379,28.88
2024-09-04 20:50:25,29,3.54,6,379,27.53
2024-09-04 20:50:26,31.2,3.54,6,379,27.55
2024-09-04 20:50:27,28.3,3.56,6,379,27.62
2024-09-04 20:50:29,28.6,3.56,6,379,27.61
2024-09-04 20:50:30,29,3.56,6,379,27.67
2024-09-04 20:50:32,31.2,3.55,6,379,27.73
2024-09-04 20:50:33,27.4,2.73,2,166,27.00
2024-09-04 20:50:34,27.4,2.94,0,166,26.00
2024-09-04 20:50:36,30.6,3.05,0,166,12.23
2024-09-04 20:50:37,30.2,3.23,2,295,15.30
2024-09-04 20:50:38,26.7,3.67,11,387,39.57
2024-09-04 20:50:40,27.4,3.67,12,387,33.42
2024-09-04 20:50:41,26.7,3.68,11,387,33.18
2024-09-04 20:50:42,29,3.69,11,387,33.19
2024-09-04 20:50:44,27.4,3.70,12,387,33.22
2024-09-04 20:50:45,28.3,3.70,12,387,33.07
2024-09-04 20:50:47,29,3.70,12,387,33.11
2024-09-04 20:50:48,29,3.68,12,387,33.03
2024-09-04 20:50:49,28.3,3.68,12,327,33.27
2024-09-04 20:50:51,30.6,2.87,2,166,25.94
2024-09-04 20:50:52,27.4,3.00,0,166,25.92
2024-09-04 20:50:53,27.4,3.11,0,166,22.65
2024-09-04 20:50:55,27.9,3.67,10,389,28.53
2024-09-04 20:50:56,29.5,3.68,11,389,34.00
2024-09-04 20:50:58,30.6,3.69,10,389,33.93
2024-09-04 20:50:59,26.7,3.70,10,389,33.89
2024-09-04 20:51:00,28.6,3.70,10,389,33.90
2024-09-04 20:51:02,50,3.70,7,226,33.22
2024-09-04 20:51:03,37.7,2.68,7,226,28.76
2024-09-04 20:51:04,37.1,2.68,8,226,28.80
2024-09-04 20:51:06,36.1,2.68,8,226,28.79
2024-09-04 20:51:07,37.7,2.68,8,226,28.62
2024-09-04 20:51:09,38.1,2.68,8,226,28.65
2024-09-04 20:51:10,38.1,2.68,8,226,28.80
2024-09-04 20:51:11,37.3,2.68,8,226,28.85
2024-09-04 20:51:13,38.7,2.68,8,226,28.92
2024-09-04 20:51:14,58.7,2.70,7,226,28.83
2024-09-04 20:51:15,37.7,2.68,8,226,28.81
2024-09-04 20:51:17,27.4,2.76,0,168,26.13
2024-09-04 20:51:18,24.2,2.93,0,168,26.13
2024-09-04 20:51:20,28.6,3.06,0,168,25.96
2024-09-04 20:51:21,29,3.26,2,295,26.02
2024-09-04 20:51:22,30.2,3.59,10,383,31.64
2024-09-04 20:51:24,30.2,3.60,5,383,31.42
2024-09-04 20:51:25,29.7,3.61,9,383,31.80
2024-09-04 20:51:26,27.9,3.61,10,383,31.80
2024-09-04 20:51:28,29,2.76,0,168,28.19
2024-09-04 20:51:29,24.2,2.96,0,168,26.15
2024-09-04 20:51:31,27,3.09,0,168,25.88
2024-09-04 20:51:32,27.9,3.26,0,295,25.95
